variant_id,variant_label,ticker,rows,date_start,date_end,applied_threshold,applied_strict_mode,layer1_signals,variant_signals,skipped_signals,signal_retention_pct,coverage_collapsed,layer1_total_trades,variant_total_trades,trade_retention_pct,layer1_win_rate,variant_win_rate,delta_win_rate,layer1_average_return,variant_average_return,delta_average_return,layer1_max_drawdown,variant_max_drawdown,delta_max_drawdown
top_25pct_return_20d,Top 25% by return_20d,AALI,6220,2001-04-05,2026-04-22,1.5,False,504,208,296,41.2698,False,234,107,45.7265,46.58,44.86,-1.72,0.2811,0.3912,0.1101,59.6064,47.8755,-11.7309
top_25pct_return_20d,Top 25% by return_20d,ACES,4525,2007-11-06,2026-04-22,1.5,False,378,172,206,45.5026,False,178,89,50.0,41.57,41.57,0.0,-0.3323,-0.0997,0.2326,68.2703,39.6841,-28.5862
top_25pct_return_20d,Top 25% by return_20d,ADRO,4360,2008-07-16,2026-04-22,1.5,False,350,202,148,57.7143,False,167,99,59.2814,43.11,40.4,-2.71,0.1157,-0.3195,-0.4352,60.1084,59.892,-0.2164
top_25pct_return_20d,Top 25% by return_20d,AKRA,5060,2005-09-29,2026-04-22,1.5,False,328,153,175,46.6463,False,175,92,52.5714,35.43,33.7,-1.73,-0.024,-0.7162,-0.6922,70.3997,65.0496,-5.3501
top_25pct_return_20d,Top 25% by return_20d,AMRT,4243,2009-01-15,2026-04-22,1.5,False,367,186,181,50.6812,False,168,89,52.9762,41.07,35.96,-5.11,0.9023,0.387,-0.5153,30.977,47.5126,16.5356
top_25pct_return_20d,Top 25% by return_20d,ANTM,5060,2005-09-29,2026-04-22,1.5,False,372,227,145,61.0215,False,171,108,63.1579,42.11,40.74,-1.37,0.0237,0.374,0.3503,80.8039,58.8234,-21.9805
top_25pct_return_20d,Top 25% by return_20d,ASII,6341,2000-10-17,2026-04-22,1.5,False,441,166,275,37.6417,False,223,104,46.6368,54.71,48.08,-6.63,1.1328,0.2877,-0.8451,25.9672,38.578,12.6108
top_25pct_return_20d,Top 25% by return_20d,AUTO,6299,2000-12-14,2026-04-22,1.5,False,547,190,357,34.7349,False,254,100,39.3701,40.55,47.0,6.45,0.257,1.06,0.803,50.8046,27.0411,-23.7635
top_25pct_return_20d,Top 25% by return_20d,BBCA,5392,2004-06-08,2026-04-22,1.5,False,429,88,341,20.5128,False,230,60,26.087,50.87,51.67,0.8,0.2262,-0.2103,-0.4365,26.1163,32.3487,6.2324
top_25pct_return_20d,Top 25% by return_20d,BBNI,5512,2003-12-23,2026-04-22,1.5,False,450,164,286,36.4444,False,220,97,44.0909,45.0,43.3,-1.7,0.3626,0.1198,-0.2428,36.9104,30.3283,-6.5821
top_25pct_return_20d,Top 25% by return_20d,BBRI,5543,2003-11-10,2026-04-22,1.5,False,412,131,281,31.7961,False,215,86,40.0,46.05,41.86,-4.19,0.076,-0.3922,-0.4682,38.4854,57.8191,19.3337
top_25pct_return_20d,Top 25% by return_20d,BBTN,4014,2009-12-17,2026-04-22,1.5,False,319,137,182,42.9467,False,146,73,50.0,51.37,42.47,-8.9,0.3996,-0.7083,-1.1079,43.4339,59.6948,16.2609
top_25pct_return_20d,Top 25% by return_20d,BMRI,5628,2003-07-14,2026-04-22,1.5,False,443,151,292,34.0858,False,229,97,42.3581,46.29,38.14,-8.15,0.3825,-0.2454,-0.6279,31.815,43.1661,11.3511
top_25pct_return_20d,Top 25% by return_20d,BRPT,5901,2002-06-26,2026-04-22,1.5,False,439,264,175,60.1367,False,187,111,59.3583,43.32,52.25,8.93,2.6719,3.9429,1.271,53.7663,29.7605,-24.0058
top_25pct_return_20d,Top 25% by return_20d,BSDE,4388,2008-06-06,2026-04-22,1.5,False,334,148,186,44.3114,False,152,76,50.0,46.05,42.11,-3.94,0.6599,0.4998,-0.1601,45.5353,55.1596,9.6243
top_25pct_return_20d,Top 25% by return_20d,CPIN,5059,2005-09-29,2026-04-22,1.5,False,388,212,176,54.6392,False,195,107,54.8718,46.15,45.79,-0.36,0.8864,1.3134,0.427,62.0328,40.6671,-21.3657
top_25pct_return_20d,Top 25% by return_20d,CTRA,6330,2000-11-01,2026-04-22,1.5,False,535,279,256,52.1495,False,243,137,56.3786,41.56,45.26,3.7,0.809,1.4775,0.6685,69.4322,53.6128,-15.8194
